"date","browser","browser_version","visitors","visits","visit_duration","bounces","pageviews"
"2025-07-26","Chrome","138.0",2,2,642,1,4
"2025-07-27","Chrome","138.0",1,1,3133,0,3
"2025-07-27","Safari","18.5",2,2,0,2,2
"2025-07-28","Chrome","138.0",4,4,0,4,4
"2025-07-29","Safari","18.5",2,2,7,1,2
"2025-08-01","Safari","18.5",1,1,0,1,1
"2025-08-01","Microsoft Edge","130.0",1,1,0,1,1
"2025-08-03","Chrome","138.0",2,2,2640,0,7
"2025-08-04","Chrome","138.0",5,6,1032,2,12
"2025-08-05","Chrome","138.0",7,12,9475,4,26
"2025-08-06","Chrome","138.0",2,2,1842,0,3
"2025-08-07","Chrome","138.0",2,3,1988,0,4
"2025-08-08","Chrome","117.0",1,1,0,1,1
"2025-08-08","Safari","18.5",1,1,0,1,1
"2025-08-08","Chrome","138.0",3,3,1416,1,5
"2025-08-09","Chrome","138.0",3,8,1488,4,13
"2025-08-10","Chrome","138.0",6,9,5856,2,9
"2025-08-11","Chrome","138.0",4,7,2101,0,7
"2025-08-12","Chrome","138.0",3,6,2751,3,11
"2025-08-13","Safari","18.6",1,1,0,1,1
"2025-08-13","Chrome","138.0",5,5,4,3,6
"2025-08-14","Chrome","138.0",3,3,0,3,3
"2025-08-15","Chrome","138.0",1,1,0,1,1
"2025-08-16","Chrome","138.0",1,1,0,1,1
