"date","name","link_url","path","visitors","events"
"2025-07-26","Contact Initiated","","",1,2
"2025-07-26","Trial ID Copied","","",1,1
"2025-07-26","engagement","","",1,11
"2025-07-26","Trial Search","","",1,105
"2025-07-27","engagement","","",3,5
"2025-07-28","engagement","","",4,4
"2025-07-29","Outbound Link: Click","https://github.com/metamonk/oncobot-v3","",1,1
"2025-07-29","engagement","","",2,3
"2025-08-01","engagement","","",1,2
"2025-08-03","engagement","","",2,28
"2025-08-03","Eligibility Check","","",1,9
"2025-08-03","External Trial View","","",1,3
"2025-08-03","Trial ID Copied","","",1,1
"2025-08-03","Trial Search","","",1,141
"2025-08-03","Outbound Link: Click","https://oncoai.userjot.com/","",2,3
"2025-08-04","Outbound Link: Click","https://oncoai.userjot.com/","",1,1
"2025-08-04","Trial ID Copied","","",2,3
"2025-08-04","engagement","","",5,44
"2025-08-04","Health Profile Skipped","","",1,1
"2025-08-04","Trial Search","","",3,117
"2025-08-04","External Trial View","","",1,2
"2025-08-04","Contact Initiated","","",2,3
"2025-08-05","Trial ID Copied","","",2,2
"2025-08-05","Contact Initiated","","",2,2
"2025-08-05","Trial Search","","",6,151
"2025-08-05","Outbound Link: Click","https://oncoai.userjot.com/","",1,1
"2025-08-05","External Trial View","","",2,6
"2025-08-05","engagement","","",7,76
"2025-08-06","Trial Search","","",2,30
"2025-08-06","engagement","","",2,7
"2025-08-07","Trial Search","","",2,204
"2025-08-07","engagement","","",2,33
"2025-08-08","engagement","","",3,10
"2025-08-08","Trial Search","","",1,10
"2025-08-09","engagement","","",3,23
"2025-08-09","Trial Search","","",1,68
"2025-08-09","Health Profile Skipped","","",1,1
"2025-08-10","Trial ID Copied","","",3,3
"2025-08-10","External Trial View","","",1,3
"2025-08-10","Trial Search","","",6,448
"2025-08-10","Link Click","","",1,1
"2025-08-10","engagement","","",6,80
"2025-08-10","Health Profile Skipped","","",1,1
"2025-08-10","Contact Method Clicked","","",1,1
"2025-08-11","Trial Search","","",4,81
"2025-08-11","Trial ID Copied","","",1,5
"2025-08-11","engagement","","",3,23
"2025-08-11","External Trial View","","",1,1
"2025-08-12","Trial Search","","",1,21
"2025-08-12","Outbound Link: Click","https://x.com/oncobotai","",1,1
"2025-08-12","engagement","","",3,23
"2025-08-13","engagement","","",6,7
"2025-08-13","Trial Search","","",1,4
"2025-08-14","engagement","","",1,1
