"date","operating_system","operating_system_version","visitors","visits","visit_duration","bounces","pageviews"
"2025-07-26","Mac","10.15",1,1,642,0,3
"2025-07-26","Windows","10",1,1,0,1,1
"2025-07-27","iOS","18.5",2,2,0,2,2
"2025-07-27","Mac","10.15",1,1,3133,0,3
"2025-07-28","Mac","10.15",2,2,0,2,2
"2025-07-28","Windows","10",2,2,0,2,2
"2025-07-29","iOS","18.5",2,2,7,1,2
"2025-08-01","iOS","18.5",1,1,0,1,1
"2025-08-01","Windows","10",1,1,0,1,1
"2025-08-03","Mac","10.15",2,2,2640,0,7
"2025-08-04","Mac","10.15",4,5,1001,2,10
"2025-08-04","Windows","10",1,1,31,0,2
"2025-08-05","Mac","10.15",6,11,8133,4,24
"2025-08-05","Windows","10",1,1,1342,0,2
"2025-08-06","Mac","10.15",2,2,1842,0,3
"2025-08-07","Mac","10.15",2,3,1988,0,4
"2025-08-08","Windows","10",1,1,0,1,1
"2025-08-08","iOS","18.5",2,2,0,2,2
"2025-08-08","Mac","10.15",2,2,1416,0,4
"2025-08-09","Mac","10.15",3,8,1488,4,13
"2025-08-10","Mac","10.15",5,7,3383,2,7
"2025-08-10","Windows","10",1,2,2473,0,2
"2025-08-11","Mac","10.15",3,6,979,0,3
"2025-08-11","Windows","10",1,1,1122,0,4
"2025-08-12","Mac","10.15",3,6,2751,3,11
"2025-08-13","Mac","10.15",2,2,3,1,2
"2025-08-13","Windows","10",3,3,1,2,4
"2025-08-13","iOS","18.6",1,1,0,1,1
"2025-08-14","Windows","10",2,2,0,2,2
"2025-08-14","Mac","10.15",1,1,0,1,1
"2025-08-15","iOS","18.5",1,1,0,1,1
"2025-08-16","Windows","10",1,1,0,1,1
