"date","hostname","page","visits","visitors","pageviews","total_scroll_depth","total_scroll_depth_visits","total_time_on_page","total_time_on_page_visits"
"2025-07-26","onco.bot","/sign-in",1,1,1,100,1,2,1
"2025-07-26","onco.bot","/",2,2,3,100,1,145,1
"2025-07-27","onco.bot","/",3,3,5,300,3,1523,3
"2025-07-28","onco.bot","/",4,4,4,400,4,627,4
"2025-07-29","onco.bot","/",2,2,2,200,2,25,2
"2025-08-01","onco.bot","/",2,2,2,100,1,25,1
"2025-08-03","onco.bot","/search/36d6c170-d8ba-461f-8ff6-5e0307ecbafa",1,1,1,100,1,49,1
"2025-08-03","onco.bot","/",2,2,6,200,2,2730,2
"2025-08-04","onco.bot","/search/814cf723-6cb4-40c0-94b9-4de0d98147e9",1,1,1,100,1,257,1
"2025-08-04","onco.bot","/search/9c5c2c43-5008-4d86-8ba6-97896c476afe",1,1,1,100,1,36,1
"2025-08-04","onco.bot","/sign-in",1,1,1,100,1,20,1
"2025-08-04","onco.bot","/",7,5,12,700,7,1703,7
"2025-08-05","onco.bot","/search/f6b383f1-cc06-48f2-a23c-138e4092d9d9",3,2,3,186,3,26,3
"2025-08-05","onco.bot","/search/54dd8e21-add0-4c2b-8493-4c73667f04af",1,1,1,96,1,25,1
"2025-08-05","onco.bot","/search/2cf55642-fd17-41fe-871c-ee84caaccc37",2,2,2,200,2,32,2
"2025-08-05","onco.bot","/search/814cf723-6cb4-40c0-94b9-4de0d98147e9",1,1,1,100,1,85,1
"2025-08-05","onco.bot","/",5,4,9,500,5,259,5
"2025-08-05","onco.bot","/search/ddae9fe2-261c-4dbc-9745-54e57db96628",3,3,3,271,3,36,3
"2025-08-05","onco.bot","/search/eb07e7be-82d9-4cef-97fd-1a039a0bd27c",2,2,4,200,2,579,2
"2025-08-06","onco.bot","/search/eb07e7be-82d9-4cef-97fd-1a039a0bd27c",2,2,2,199,2,13,2
"2025-08-06","onco.bot","/",1,1,1,100,1,57,1
"2025-08-07","onco.bot","/search/5ca831a9-af7d-4458-835e-feb5c1190d7a",1,1,1,98,1,14,1
"2025-08-07","onco.bot","/",1,1,2,200,2,350,2
"2025-08-07","onco.bot","/search/eb07e7be-82d9-4cef-97fd-1a039a0bd27c",1,1,1,95,1,75,1
"2025-08-08","onco.bot","/",4,4,5,200,2,95,2
"2025-08-08","onco.bot","/search/42a03952-1c74-443f-8070-f06242d5528e",1,1,2,100,1,50,1
"2025-08-09","onco.bot","/",5,3,10,564,6,228,6
"2025-08-09","onco.bot","/search/47955c6d-4afa-48c2-bc3d-58a0ee868bad",2,1,2,165,2,39,2
"2025-08-09","onco.bot","/search/6f71f989-142b-4534-94df-51d614aa044b",1,1,1,98,1,30,1
"2025-08-10","onco.bot","/",5,3,6,800,8,3638,8
"2025-08-10","onco.bot","/search/89f88ad5-c6b7-4735-8c13-7af6ed327a8c",1,1,1,200,2,1434,2
"2025-08-10","onco.bot","/search/a87692a4-5254-4bb3-bea2-ea5ab0ab3b4d",1,1,2,100,1,147,1
"2025-08-11","onco.bot","/search/02bb6426-5cc5-408d-a298-9213e5db2d07",3,2,3,391,4,39,4
"2025-08-11","onco.bot","/",1,1,4,100,1,238,1
"2025-08-12","onco.bot","/",6,3,9,600,6,813,6
"2025-08-12","onco.bot","/about",2,1,2,200,2,132,2
"2025-08-13","onco.bot","/terms",1,1,1,20,1,22,1
"2025-08-13","onco.bot","/privacy-policy",1,1,1,24,1,22,1
"2025-08-13","onco.bot","/search/a87692a4-5254-4bb3-bea2-ea5ab0ab3b4d",1,1,1,100,1,66,1
"2025-08-13","onco.bot","/",4,4,4,400,4,28,4
"2025-08-14","onco.bot","/",3,3,3,100,1,2,1
"2025-08-15","onco.bot","/",1,1,1,0,0,0,0
"2025-08-16","onco.bot","/",1,1,1,0,0,0,0
