"date","visitors","pageviews","bounces","visits","visit_duration"
"2025-07-26",2,4,1,2,642
"2025-07-27",3,5,2,3,3133
"2025-07-28",4,4,4,4,0
"2025-07-29",2,2,1,2,7
"2025-08-01",2,2,2,2,0
"2025-08-03",2,7,0,2,2640
"2025-08-04",5,15,2,6,1032
"2025-08-05",7,23,4,12,9475
"2025-08-06",2,3,0,2,1842
"2025-08-07",2,4,0,3,1988
"2025-08-08",5,7,3,5,1416
"2025-08-09",3,13,4,8,1488
"2025-08-10",6,9,2,9,5856
"2025-08-11",4,7,0,7,2101
"2025-08-12",3,11,3,6,2751
"2025-08-13",6,7,4,6,4
"2025-08-14",3,3,3,3,0
"2025-08-15",1,1,1,1,0
"2025-08-16",1,1,1,1,0
